Initializing database...
Category Test has 6 images:
ImageDnd: Initialize(): - Initializing Image: 620c91da6ba7eb7904bcbab2a9ce5ceb
ImageDnd: Initialize(): - Initializing Image: 138c05446d6a9903dc9d2475eefb3cec
ImageDnd: Initialize(): - Initializing Image: 5bfe7a6249ced3b009d6fb2a64f666f3
ImageDnd: Initialize(): - Initializing Image: a3dc55bfd562b8c24ef9dcfea1872a85
ImageDnd: Initialize(): - Initializing Image: 37970fc10486f43d9a7331d1bbf7d315
ImageDnd: Initialize(): - Initializing Image: c641f8455b93e3a9aa3a0c12dc2fc55b
ImageDnd: Initialize(): - Initializing Image: 05199951bcec938ee55160fdfb687e83
ImageDnd: Initialize(): - Initializing Image: d7090099792905718837c4edc43938d5
ImageDnd: Initialize(): - Initializing Image: d7090099792905718837c4edc43938d5
ImageDnd: Initialize(): - Initializing Image: 05199951bcec938ee55160fdfb687e83
ImageDnd: Initialize(): - Initializing Image: 05199951bcec938ee55160fdfb687e83
ImageDnd: Initialize(): - Initializing Image: e48155819c82527210b5b80c040f2c49
ImageDnd: Initialize(): - Initializing Image: 3b5c8c429fe5f54e6dc27a5c8b20cad3
ImageDnd: Initialize(): - Initializing Image: 9af1596fddf6da0b7fb0cb8c6da85e90
ImageDnd: Initialize(): - Initializing Image: b0621b520d69387c3180a0c96f02a086
ImageDnd: Initialize(): - Initializing Image: 7462ebfc75465558d9d97583a7a15262
ImageDnd: Initialize(): - Initializing Image: 00c5963f66a6d558be0e7e15c64ddcff
ImageDnd: Initialize(): - Initializing Image: dc5fc2f3a775a4de42125cf0ba574219
ImageDnd: Initialize(): - Initializing Image: 41346b4e58902346feb9a9e1b7afa1a1
ImageDnd: Initialize(): - Initializing Image: b8847b8402d5e284999b701dcc8811f4
ImageDnd: Initialize(): - Initializing Image: 6337630b4e44a479084da4c7e0ded5d0
ImageDnd: Initialize(): - Initializing Image: ba11367c5ca4e651bbd47b767a7f51aa
ImageDnd: Initialize(): - Initializing Image: 6548e6a803534dc89cd95a8586f47797
ImageDnd: Initialize(): - Initializing Image: 98c8725613882fc88d6aaaaa018c79a9
ImageDnd: Initialize(): - Initializing Image: e2bc5c216edf2b6634101a044d147a0e
ImageDnd: Initialize(): - Initializing Image: a2e7a8963104fdd63c9095e25741391c
ImageDnd: Initialize(): - Initializing Image: 45db88ceda8a52c0cbc68ff58146c8e9
ImageDnd: Initialize(): - Initializing Image: 198dfa36bcafbb913a787203f260187a
ImageDnd: Initialize(): - Initializing Image: 1c47c1f8cfb1719575f02248299e2443
ImageDnd: Initialize(): - Initializing Image: 1958d58a7d83697a88a51a5682a4eca5
ImageDnd: Initialize(): - Initializing Image: 283b61515ad19a2651f8ee1db9ed5e59
ImageDnd: Initialize(): - Initializing Image: ba8f3e993f19c76c71100cade9e69c4e
